row_id,source_batch,status,game_date,match_raw,match_norm,question_number,question,question_type,field_prob,result,outcome_pct,submitted,submitted_percent,actual_rbp,if_yes_rbp,if_no_rbp,swing_display,notes,target_team,target_player,line
317,raw_paste_collected_in_chat,resolved,2026-06-20,Netherlands vs Sweden,Netherlands vs Sweden,Q1,Will Netherlands win the match?,team_win,59,Yes,100.0,1,57.0,0.67,0.67,3.92,3.0,Beat crowd,,,
327,raw_paste_collected_in_chat,resolved,2026-06-20,Germany vs Ivory Coast,Germany vs Ivory Coast,Q1,Will Germany win the match?,team_win,69,Yes,100.0,1,66.0,0.07,0.07,6.92,7.0,Beat crowd,,,
337,raw_paste_collected_in_chat,resolved,2026-06-20,Ecuador vs Curacao,Ecuador vs Curaçao,Q1,Will Ecuador win the match?,team_win,80,No,0.0,1,83.0,-2.49,2.92,-2.49,5.0,Below crowd,,,
338,raw_paste_collected_in_chat,resolved,2026-06-20,Ecuador vs Curacao,Ecuador vs Curaçao,Q2,Will the match have 3 or more total goals?,match_total_over,57,No,0.0,1,61.0,-2.47,5.97,-2.47,8.0,Below crowd,,,
346,live_lock_spain_2026_06_21,resolved,2026-06-21,Spain vs Saudi Arabia,Spain vs Saudi Arabia,Q6,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,33,No,0.0,1,29.0,5.01,-2.03,5.01,7.0,Resolved; submitted live before kickoff; Beat crowd,,,
347,live_lock_spain_2026_06_21,resolved,2026-06-21,Spain vs Saudi Arabia,Spain vs Saudi Arabia,Q7,Will Spain win the match?,team_win,85,Yes,100.0,1,87.0,2.29,2.29,-1.99,4.0,Resolved; submitted live before kickoff; Beat crowd,,,
348,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q1,Will Iran commit more fouls than Belgium?,team_more_fouls,58,Yes,100.0,1,56,0.38,0.38,4.38,4.0,actual result: Iran more fouls,Iran,,
349,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q2,Will there be 2 or more total cards shown in the second half?,total_cards_2h_over,56,No,0.0,1,50,8.8,-3.01,8.8,12.0,,,,1.5
350,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q3,Will both teams score AND will the match have 3 or more total goals?,compound_btts_over_2_5,38,No,0.0,1,33,5.7,-4.41,5.7,10.0,,,,2.5
351,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q4,Will Belgium have more shots on target than Iran in the second half?,team_more_sot_2h,66,Yes,100.0,1,56,-5.92,-5.92,14.26,20.0,,Belgium,,
352,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q5,Will there be 4 or more total shots on target in the second half?,total_sot_2h_over,63,Yes,100.0,1,58,-1.78,-1.78,8.21,10.0,,,,3.5
353,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q6,Will Belgium win the match?,team_win,69,No,0.0,1,68,2.51,1.32,2.51,1.0,,Belgium,,
354,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q7,Will Belgium be winning at halftime?,halftime_team_lead,50,No,0.0,1,43,8.87,-5.49,8.87,14.0,,Belgium,,
355,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q8,Will Tielemans have 1 or more shots on target?,player_sot_over,43,Yes,100.0,1,27,-18.18,-18.18,14.11,32.0,,Belgium,Tielemans,0.5
356,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q9,"Will Taremi score or assist a goal, excluding own goals?",player_goal_or_assist,31,No,0.0,1,22,6.59,-10.94,6.59,18.0,,Iran,Taremi,
357,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q10,Will there be 9 or more total corners?,total_corners_over,52,No,0.0,1,52,2.28,2.72,2.28,0.0,,,,8.5
368,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q1,Will Uruguay be caught offside 2 or more times?,team_offsides_over,52,Yes,100.0,1,48,-2.08,-2.08,7.0,,opposite conditional payoff was displayed rounded,Uruguay,,1.5
369,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q2,Will both teams have at least 1 shot on target in the second half?,both_teams_sot_2h_1plus,60,No,0.0,1,68,-7.22,8.0,-7.22,,opposite conditional payoff was displayed rounded,,,
370,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q3,Will Cape Verde receive more cards than Uruguay?,team_more_cards,49,No,0.0,1,54,-3.24,7.0,-3.24,,opposite conditional payoff was displayed rounded,Cape Verde,,
371,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q4,Will a penalty kick be awarded in the match?,penalty_awarded,30,No,0.0,1,31,1.17,4.0,1.17,,opposite conditional payoff was displayed rounded,,,
372,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q5,Will Uruguay commit more fouls than Cape Verde?,team_more_fouls,47,Yes,100.0,1,42,-3.17,-3.17,7.0,,opposite conditional payoff was displayed rounded,Uruguay,,
373,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q6,Will Cape Verde have 2 or more shots on target in the second half?,team_sot_2h_over,35,Yes,100.0,1,37,5.15,5.15,2.0,,opposite conditional payoff was displayed rounded,Cape Verde,,1.5
374,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q7,Will Uruguay win the match?,team_win,69,No,0.0,1,69,1.81,2.0,1.81,,opposite conditional payoff was displayed rounded,Uruguay,,
375,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q8,Will Cape Verde score in the second half?,team_score_2h,29,Yes,100.0,1,31,4.86,4.86,0.0,,opposite conditional payoff was displayed rounded,Cape Verde,,
376,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q9,"Will Darwin Núñez score or assist a goal, excluding own goals?",player_goal_or_assist,38,No,0.0,1,40,2.09,6.0,2.09,,opposite conditional payoff was displayed rounded,Uruguay,Darwin Núñez,
377,live_lock_uruguay_capeverde_2026_06_21,resolved,2026-06-21,Uruguay vs Cape Verde,Uruguay vs Cape Verde,Q10,Will Uruguay have 6 or more shots on target?,team_sot_over,53,No,0.0,1,45,11.47,-4.0,11.47,,opposite conditional payoff was displayed rounded,Uruguay,,5.5
