y_field,match,match_norm,game_date,question_number,question,question_type,target_team,target_player,line,crowd_percent,submitted_percent,result,actual_rbp,source_batch,has_market_context,favorite_team,underdog_team,favorite_win_prob,underdog_win_prob,favorite_gap,target_team_win_prob,target_is_favorite,target_is_underdog,target_is_neutral_or_unknown,target_role_bucket,match_total_over_2_5_prob,btts_prob,halftime_draw_prob,target_team_implied_strength,is_player_prop,is_team_prop,is_match_prop,is_compound_question,is_second_half_question,is_halftime_question,is_threshold_question,threshold_line,is_fouls_question,is_cards_question,is_sot_question,is_corners_question,is_offsides_question,is_goal_question,is_penalty_question,is_favorite_dominance_question,is_underdog_activity_question,target_player_present
0.57,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q1,Will South Africa commit more fouls than Mexico?,team_more_fouls,nan,nan,,57,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.65,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q2,"In the second half, will Mexico have more corner kicks than South Africa?",team_more_corners_2h,nan,nan,,65,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,1
0.69,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q3,Will Mexico have more shots on target than South Africa in the second half?,team_more_sot_2h,nan,nan,,69,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.42,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q4,Will a penalty kick be awarded OR a red card be shown in the match?,penalty_or_red_card,nan,nan,,42,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,1
0.51,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q5,Will South Africa be caught offside 2 or more times?,team_offsides_over,nan,nan,,51,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.54,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q6,Will South Africa receive more cards than Mexico?,team_more_cards,nan,nan,,54,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1
0.73,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q7,Will Mexico win the match?,team_win,nan,nan,,73,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.52,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q8,Will the match have 2 or fewer total goals?,match_total_under,nan,nan,,52,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.38,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q9,Will South Africa score in the second half?,team_score_2h,nan,nan,,38,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.3,Mexico vs South Africa,Mexico vs South Africa,2026-06-11,Q10,Will Oswin Appollis score or assist a goal (excluding own goals)?,player_goal_or_assist,nan,nan,,30,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1
0.45,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q1,"At halftime, will Czechia have more corner kicks than South Korea?",team_more_corners_h1,nan,nan,,45,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,1
0.52,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q2,Will South Korea be caught offside 2 or more times?,team_offsides_over,nan,nan,,52,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.58,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q3,Will there be 2 or more total cards shown in the second half?,total_cards_over,nan,nan,,58,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,1,0,1,,0,1,0,0,0,0,0,0,0,1
0.38,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q4,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,nan,nan,,38,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.33,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q5,Will a penalty kick be awarded in the match?,penalty_awarded,nan,nan,,33,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,1
0.55,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q6,Will South Korea have more shots on target than Czechia in the second half?,team_more_sot_2h,nan,nan,,55,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.5,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q7,Will South Korea win the match?,team_win,nan,nan,,50,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.55,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q8,Will South Korea score in the second half?,team_score_2h,nan,nan,,55,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.4,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q9,Will Son Heung-min score a goal (excluding own goals)?,player_goal,nan,nan,,40,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1
0.67,South Korea vs Czechia,South Korea vs Czechia,2026-06-11,Q10,Will Patrik Schick have at least 1 shot on target?,player_sot_over,nan,nan,,67,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.64,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q1,Will Bosnia and Herzegovina commit more fouls than Canada?,team_more_fouls,nan,nan,,64,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.59,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q2,Will there be 4 or more total shots on target in the second half?,second_half_total_sot_over,nan,nan,,59,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,1,0,1,,0,0,1,0,0,0,0,0,0,1
0.41,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q3,Will a penalty kick be awarded OR a red card be shown?,penalty_or_red_card,nan,nan,,41,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,1
0.61,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q4,Will Canada win the match?,team_win,nan,nan,,61,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.47,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q5,"At halftime, will the match be tied?",halftime_draw,nan,nan,,47,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,1
0.38,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q6,Will the second half have 2 or more total goals?,second_half_goals_over,nan,nan,,38,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,1,0,1,,0,0,0,0,0,1,0,0,0,1
0.36,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q7,Will Bosnia and Herzegovina have 5 or more corner kicks?,team_corners_over,nan,nan,,36,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,1
0.38,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q8,Will Jonathan David score a goal (excluding own goals)?,player_goal,nan,nan,,38,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1
0.58,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q9,Will Edin Džeko have at least 1 shot on target?,player_sot_over,nan,nan,,58,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.44,Canada vs Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,2026-06-12,Q10,Will Bosnia and Herzegovina score in the second half?,team_score_2h,nan,nan,,44,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.56,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q1,Will United States be caught offside 2 or more times?,team_offsides_over,nan,nan,,56,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.31,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q2,Will United States score the first goal of the game and Paraguay score in the second half?,compound_first_goal_score_2h,nan,nan,,31,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,1
0.35,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q3,Will Paraguay finish with more corner kicks than United States?,team_more_corners_full,nan,nan,,35,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1
0.6,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q4,Will United States win the match?,team_win,nan,nan,,60,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.45,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q5,"At halftime, will the match be tied?",halftime_draw,nan,nan,,45,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,1
0.42,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q6,Will the match have 3 or more total goals?,match_total_over,nan,nan,,42,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.44,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q7,Will Paraguay score in the second half?,team_score_2h,nan,nan,,44,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.49,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q8,Will there be 4 or more total cards shown?,total_cards_over,nan,nan,,49,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,1
0.63,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q9,Will Folarin Balogun have at least 1 shot on target?,player_sot_over,nan,nan,,63,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.37,United States vs Paraguay,United States vs Paraguay,2026-06-12,Q10,Will Julio Enciso have at least 1 shot on target in the second half?,player_sot_2h_over,nan,nan,,37,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,1
0.59,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q1,"At halftime, will both teams have at least 1 shot on target?",both_teams_sot_h1_1plus,nan,nan,,59,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,1,1,,0,0,1,0,0,0,0,0,0,1
0.53,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q2,Will Switzerland be caught offside 2 or more times?,team_offsides_over,nan,nan,,53,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.57,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q3,Will Switzerland receive at least 1 card in the second half?,team_card_2h,nan,nan,,57,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,1,,0,1,0,0,0,0,0,0,0,1
0.3,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q4,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,nan,nan,,30,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.39,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q5,Will Qatar have 2 or more shots on target in the second half?,team_sot_2h_over,nan,nan,,39,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,1
0.64,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q6,Will Qatar commit more fouls than Switzerland?,team_more_fouls,nan,nan,,64,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.4,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q7,Will Qatar score at least 1 goal?,team_score_any,nan,nan,,40,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,1
0.57,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q8,Will Qatar have 2 or more shots on target?,team_sot_over,nan,nan,,57,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.46,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q9,Will Akram Afif have at least 1 shot on target?,player_sot_over,nan,nan,,46,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.48,Qatar vs Switzerland,Qatar vs Switzerland,2026-06-13,Q10,Will Granit Xhaka have at least 1 shot on target?,player_sot_over,nan,nan,,48,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.59,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q1,Will Brazil be caught offside 2 or more times?,team_offsides_over,nan,nan,,59,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.61,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q2,Will Morocco commit more fouls than Brazil?,team_more_fouls,nan,nan,,61,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.32,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q3,Will Morocco score the first goal of the second half?,team_score_first_2h,nan,nan,,32,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,1
0.55,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q4,Will Brazil score more goals than Morocco in the second half?,team_more_goals_2h,nan,nan,,55,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,1
0.33,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q5,Will Morocco have more shots on target than Brazil in the second half?,team_more_sot_2h,nan,nan,,33,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.39,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q6,Will Brazil receive more cards than Morocco?,team_more_cards,nan,nan,,39,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1
0.47,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q7,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,nan,nan,,47,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.66,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q8,Will Brazil win the match?,team_win,nan,nan,,66,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.38,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q9,Will Morocco have 5 or more corner kicks?,team_corners_over,nan,nan,,38,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,1
0.42,Brazil vs Morocco,Brazil vs Morocco,2026-06-13,Q10,Will the match be tied at halftime?,halftime_draw,nan,nan,,42,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,1
0.62,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q1,Will Haiti commit more fouls than Scotland?,team_more_fouls,nan,nan,,62,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.3,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q2,"In the second half, will Haiti have more corner kicks than Scotland?",team_more_corners_2h,nan,nan,,30,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,1
0.27,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q3,Will Haiti have more shots on target than Scotland in the second half?,team_more_sot_2h,nan,nan,,27,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.42,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q4,Will a penalty kick be awarded OR a red card be shown?,penalty_or_red_card,nan,nan,,42,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,1
0.45,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q5,Will Haiti score at least 1 goal?,team_score_any,nan,nan,,45,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,1
0.39,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q6,Will the match be tied at halftime?,halftime_draw,nan,nan,,39,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,1
0.46,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q7,Will the match have 2 or fewer total goals?,match_total_under,nan,nan,,46,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.42,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q8,Will the second half have 2 or more total goals?,second_half_goals_over,nan,nan,,42,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,1,0,1,,0,0,0,0,0,1,0,0,0,1
0.45,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q9,Will Duckens Nazon have at least 1 shot on target?,player_sot_over,nan,nan,,45,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.64,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q10,Will Scott McTominay have at least 1 shot on target?,player_sot_over,nan,nan,,64,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.53,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q1,Will Australia commit more fouls than Türkiye?,team_more_fouls,nan,nan,,53,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.62,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q2,Will Türkiye have more shots on target than Australia in the second half?,team_more_sot_2h,nan,nan,,62,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.48,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q3,Will Australia be caught offside 2 or more times?,team_offsides_over,nan,nan,,48,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
