y_field,match,match_norm,game_date,question_number,question,question_type,target_team,target_player,line,crowd_percent,submitted_percent,result,actual_rbp,source_batch,has_market_context,favorite_team,underdog_team,favorite_win_prob,underdog_win_prob,favorite_gap,target_team_win_prob,target_is_favorite,target_is_underdog,target_is_neutral_or_unknown,target_role_bucket,match_total_over_2_5_prob,btts_prob,halftime_draw_prob,target_team_implied_strength,is_player_prop,is_team_prop,is_match_prop,is_compound_question,is_second_half_question,is_halftime_question,is_threshold_question,threshold_line,is_fouls_question,is_cards_question,is_sot_question,is_corners_question,is_offsides_question,is_goal_question,is_penalty_question,is_favorite_dominance_question,is_underdog_activity_question,target_player_present
0.55,Uzbekistan vs Colombia,Uzbekistan vs Colombia,2026-06-17,Q4,Will Luis Díaz have at least 1 shot on target in the second half?,player_sot_2h_over,nan,nan,,55,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,1
0.43,Uzbekistan vs Colombia,Uzbekistan vs Colombia,2026-06-17,Q5,Will Uzbekistan score at least 1 goal?,team_score_any,nan,nan,,43,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,1
0.41,Uzbekistan vs Colombia,Uzbekistan vs Colombia,2026-06-17,Q6,"At halftime, will the match be tied?",halftime_draw,nan,nan,,41,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,1
0.48,Uzbekistan vs Colombia,Uzbekistan vs Colombia,2026-06-17,Q7,Will the match have 2 or fewer total goals?,match_total_under,nan,nan,,48,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.66,Uzbekistan vs Colombia,Uzbekistan vs Colombia,2026-06-17,Q8,Will Colombia score in the second half?,team_score_2h,nan,nan,,66,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.29,Uzbekistan vs Colombia,Uzbekistan vs Colombia,2026-06-17,Q9,Will Uzbekistan have 5 or more corner kicks?,team_corners_over,nan,nan,,29,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,1
0.28,Uzbekistan vs Colombia,Uzbekistan vs Colombia,2026-06-17,Q10,Will Eldor Shomurodov score or assist a goal (excluding own goals)?,player_goal_or_assist,nan,nan,,28,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1
0.52,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q1,Will South Africa commit more fouls than Czechia?,team_more_fouls,nan,nan,,52,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.59,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q2,"In the second half, will Czechia have more corner kicks than South Africa?",team_more_corners_2h,nan,nan,,59,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,1
0.61,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q3,Will Czechia have more shots on target than South Africa in the second half?,team_more_sot_2h,nan,nan,,61,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.38,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q4,Will a penalty kick be awarded OR a red card be shown in the match?,penalty_or_red_card,nan,nan,,38,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,1
0.48,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q5,Will Czechia be caught offside 2 or more times?,team_offsides_over,nan,nan,,48,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.58,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q6,Will Czechia win the match?,team_win,nan,nan,,58,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.53,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q7,Will the match have 2 or fewer total goals?,match_total_under,nan,nan,,53,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.4,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q8,Will South Africa score in the second half?,team_score_2h,nan,nan,,40,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.61,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q9,Will Patrik Schick have at least 1 shot on target?,player_sot_over,nan,nan,,61,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.27,Czechia vs South Africa,Czechia vs South Africa,2026-06-18,Q10,Will Oswin Appollis score or assist a goal (excluding own goals)?,player_goal_or_assist,nan,nan,,27,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1
0.64,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q1,"At halftime, will both teams have at least 1 shot on target?",both_teams_sot_h1_1plus,nan,nan,,64,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,1,1,,0,0,1,0,0,0,0,0,0,1
0.47,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q2,Will Switzerland be caught offside 2 or more times?,team_offsides_over,nan,nan,,47,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.56,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q3,Will there be 2 or more total cards shown in the second half?,total_cards_over,nan,nan,,56,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,1,0,1,,0,1,0,0,0,0,0,0,0,1
0.37,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q4,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,nan,nan,,37,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.6,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q5,Will Bosnia and Herzegovina commit more fouls than Switzerland?,team_more_fouls,nan,nan,,60,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.3,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q6,Will a penalty kick be awarded in the match?,penalty_awarded,nan,nan,,30,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,1
0.64,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q7,Will Switzerland have more shots on target than Bosnia and Herzegovina in the second half?,team_more_sot_2h,nan,nan,,64,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,1,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.34,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q8,Will Granit Xhaka have at least 1 shot on target in the second half?,player_sot_2h_over,nan,nan,,34,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,1
0.45,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q9,Will Edin Džeko have at least 1 shot on target?,player_sot_over,nan,nan,,45,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.63,Switzerland vs Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,2026-06-18,Q10,Will Switzerland win the match?,team_win,nan,nan,,63,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.56,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q1,Will Qatar commit more fouls than Canada?,team_more_fouls,nan,nan,,56,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.6,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q2,Will there be 4 or more total shots on target in the second half?,second_half_total_sot_over,nan,nan,,60,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,1,0,1,,0,0,1,0,0,0,0,0,0,1
0.36,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q3,Will a penalty kick be awarded OR a red card be shown?,penalty_or_red_card,nan,nan,,36,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,1
0.5,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q4,Will Jonathan David have at least 1 shot on target in the second half?,player_sot_2h_over,nan,nan,,50,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,1
0.71,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q5,Will Canada win the match?,team_win,nan,nan,,71,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.52,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q6,"At halftime, will Canada be winning?",halftime_team_winning,nan,nan,,52,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,1
0.57,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q7,Will Canada have 5 or more shots on target?,team_sot_over,nan,nan,,57,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.28,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q8,Will Qatar have 5 or more corner kicks?,team_corners_over,nan,nan,,28,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,1
0.42,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q9,Will Akram Afif have at least 1 shot on target?,player_sot_over,nan,nan,,42,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.35,Canada vs Qatar,Canada vs Qatar,2026-06-18,Q10,Will Qatar score in the second half?,team_score_2h,nan,nan,,35,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.51,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q1,Will Mexico be caught offside 2 or more times?,team_offsides_over,nan,nan,,51,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.33,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q2,Will Mexico score the first goal of the game and South Korea score in the second half?,compound_first_goal_score_2h,nan,nan,,33,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,1
0.41,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q3,Will South Korea finish with more corner kicks than Mexico?,team_more_corners_full,nan,nan,,41,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1
0.49,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q4,Will Mexico win the match?,team_win,nan,nan,,49,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.4,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q5,"At halftime, will Mexico be winning?",halftime_team_winning,nan,nan,,40,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,1
0.48,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q6,Will the match have 3 or more total goals?,match_total_over,nan,nan,,48,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.5,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q7,Will South Korea score in the second half?,team_score_2h,nan,nan,,50,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.48,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q8,Will there be 4 or more total cards shown?,total_cards_over,nan,nan,,48,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,1
0.42,Mexico vs South Korea,Mexico vs South Korea,2026-06-18,Q9,Will Son Heung-min score or assist a goal (excluding own goals)?,player_goal_or_assist,nan,nan,,42,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1
0.44,United States vs Australia,United States vs Australia,2026-06-19,Q1,Will United States commit more fouls than Australia?,team_more_fouls,nan,nan,,44,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.45,United States vs Australia,United States vs Australia,2026-06-19,Q2,Will Australia be caught offside 2 or more times?,team_offsides_over,nan,nan,,45,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.52,United States vs Australia,United States vs Australia,2026-06-19,Q3,Will United States score more goals than Australia in the second half?,team_more_goals_2h,nan,nan,,52,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,1
0.63,United States vs Australia,United States vs Australia,2026-06-19,Q4,Will United States have more shots on target than Australia in the second half?,team_more_sot_2h,nan,nan,,63,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.34,United States vs Australia,United States vs Australia,2026-06-19,Q5,Will Australia finish with more corner kicks than United States?,team_more_corners_full,nan,nan,,34,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1
0.43,United States vs Australia,United States vs Australia,2026-06-19,Q6,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,nan,nan,,43,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.62,United States vs Australia,United States vs Australia,2026-06-19,Q7,Will United States win the match?,team_win,nan,nan,,62,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.45,United States vs Australia,United States vs Australia,2026-06-19,Q8,Will there be 4 or more total cards shown?,total_cards_over,nan,nan,,45,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,1
0.65,United States vs Australia,United States vs Australia,2026-06-19,Q9,Will Folarin Balogun have at least 1 shot on target?,player_sot_over,nan,nan,,65,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.49,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q1,Will Morocco be caught offside 2 or more times?,team_offsides_over,nan,nan,,49,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.44,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q2,Will Morocco commit more fouls than Scotland?,team_more_fouls,nan,nan,,44,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.58,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q3,Will Morocco receive at least 1 card in the second half?,team_card_2h,nan,nan,,58,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,1,,0,1,0,0,0,0,0,0,0,1
0.36,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q4,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,nan,nan,,36,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.32,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q5,Will Scotland have more shots on target than Morocco in the second half?,team_more_sot_2h,nan,nan,,32,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,1,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.41,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q6,Will Scotland be caught offside 2 or more times?,team_offsides_over,nan,nan,,41,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.24,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q7,Will Scotland win the match?,team_win,nan,nan,,24,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.5,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q8,Will Scotland have 3 or more shots on target?,team_sot_over,nan,nan,,50,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,1,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.48,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q9,Will Scott McTominay have at least 1 shot on target?,player_sot_over,nan,nan,,48,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.59,Scotland vs Morocco,Scotland vs Morocco,2026-06-19,Q10,Will Morocco score in the second half?,team_score_2h,nan,nan,,59,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.35,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q1,Will Brazil commit more fouls than Haiti?,team_more_fouls,nan,nan,,35,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.4,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q2,Will Haiti be caught offside 2 or more times?,team_offsides_over,nan,nan,,40,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.54,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q3,Will Haiti have at least 1 shot on target in the second half?,player_sot_2h_over,nan,nan,,54,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,1
0.32,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q4,Will Haiti have 2 or more shots on target in the second half?,team_sot_2h_over,nan,nan,,32,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,1
0.55,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q5,Will Haiti receive more cards than Brazil?,team_more_cards,nan,nan,,55,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1
0.86,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q6,Will Brazil win the match?,team_win,nan,nan,,86,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.78,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q7,Will Brazil score in the second half?,team_score_2h,nan,nan,,78,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.41,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q8,Will Haiti have 3 or more corner kicks?,team_corners_over,nan,nan,,41,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,1
0.59,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q9,Will Brazil score 3 or more total goals?,team_total_goals_over,nan,nan,,59,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.3,Brazil vs Haiti,Brazil vs Haiti,2026-06-19,Q10,Will Duckens Nazon have at least 1 shot on target?,player_sot_over,nan,nan,,30,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.52,Turkey vs Paraguay,Turkey vs Paraguay,2026-06-19,Q1,Will Paraguay receive more cards than Türkiye?,team_more_cards,nan,nan,,52,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1
0.51,Turkey vs Paraguay,Turkey vs Paraguay,2026-06-19,Q2,Will Türkiye be caught offside 2 or more times?,team_offsides_over,nan,nan,,51,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
